Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
14kt-gold-multilayer-fringe-necklace,14kt Gold Multilayer Fringe Necklace,"<meta charset=""utf-8""><span>14 kt gold plated multi-layer fringe necklace 18 1/2 inches with lobster clasp</span>",MONA ASSEMI,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,598.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/6e929977-d878-48de-94b2-5ba470c04c38.png?v=1588454835,1,14kt Gold Multilayer Fringe Necklace,false,,,,,,,,,,,,,,,,,lb,,
14kt-gold-engagement-ring,14kt Gold Engagement Ring,"<meta charset=""utf-8""><span>14kt gold band picky ring ,engagement replacement</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/GoldEngagementBand.png?v=1588454690,1,,false,,,,,,,,,,,,,,,,,lb,,
gold-plated-delicate-necklace,Gold Plated Delicate Necklace,"<meta charset=""utf-8""><span>14k gold plated delicate necklace, 18 inches long</span>",MONA ASSEMI,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/2fdb4859-6ba3-4404-a026-7ef8acd90587.png?v=1588454322,1,14k gold plated delicate necklace 18 inches long,false,,,,,,,,,,,,,,,,,lb,,
gemini-gold-swarovski-crystal-ring,Gemini Gold + Swarovski Crystal Ring,"<meta charset=""utf-8""><span>Gemini ring in gold plated and swarovski crystal</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/a6e17555-7470-42b3-9d99-b2107b5d62e3.png?v=1588454237,1,Gemini ring in gold plated and swarovski crystal,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-swarovski-rings-in-clear,"14k Gold, Swarovski Rings in Clear","<meta charset=""utf-8""><span>14 k gold plated rings with Swarovski in clear <br><strong>Sizes: 9, 10</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/d01182a6-e308-43b8-8645-5adcd5608b59.png?v=1588454151,1,14 k gold plated rings with Swarovski in clear,false,,,,,,,,,,,,,,,,,lb,,
capricorn-silver-ringer,Capricorn Silver Ring,"<meta charset=""utf-8""><span>Capricorn ring in plated silver<br><strong>Sizes: 9, 10</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/10aa13a0-ff8a-4c1f-8473-9f97f0a923d7.png?v=1588454046,1,Capricorn ring in plated silver,false,,,,,,,,,,,,,,,,,lb,,
capricorn-gunmetal-ring,Capricorn Gunmetal Ring,"<meta charset=""utf-8""><span>capricorn ring in gunmetal <br><strong>Sizes: 9, 10</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/e3755f9e-a0b6-40bc-bc6f-b69671868782.png?v=1588453978,1,capricorn ring in gunmetal,false,,,,,,,,,,,,,,,,,lb,,
capricorn-gold-swarovski-crystal-ring,Capricorn Gold + Swarovski Crystal Ring,"<meta charset=""utf-8""><span>Capricorn ring in gold plated and Swarovski crystal <br><strong>Sizes: 5, 6, 6, 6, 7, 8, 8</strong></span>",MONA ASSEMI ,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/1e72c40c-9730-4c30-b138-12c0f13742b2.png?v=1588453884,1,Capricorn ring in gold plated and swarovski crystal,false,,,,,,,,,,,,,,,,,lb,,
cancer-gold-swarovski-crystal-ring,Cancer Gold + Swarovski Crystal Ring,"<meta charset=""utf-8""><span>Aquarius ring in gold plated and swarovski crystal with <br><strong>Sizes 5, 5, 6, 6, 7, 7, 8, 9, 10, 10</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/78c3e4ad-9a76-4f8e-baa0-d653f71eb059.png?v=1588453806,1,Aquarius ring in gold plated and swarovski crystal,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-ring-deepest-purple,"14k Gold ring, Deepest Purple","<meta charset=""utf-8""><span>14 k gold ring with Swarovski in deepest purple</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/fdd51c47-b776-45ea-8478-6fdcafe73ee2.png?v=1588452729,1,14 k gold ring with Swarovski in deepest purple,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-swarovski-rings-in-candy-pink,"14k Gold, Swarovski Rings in Candy Pink","<meta charset=""utf-8""><span>14 k gold plated rings with Swarovski in candy pink <br><strong>Sizes 7, 8, 11</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/Bands-CandyPink.png?v=1588452196,1,,false,,,,,,,,,,,,,,,,,lb,,
aquarius-gold-swarovski-crystal,Aquarius Gold + Swarovski Crystal Ring,"<meta charset=""utf-8""><span>Aquarius ring in gold plated and swarovski crystal</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/13eafea4-4b6d-48c1-8820-427dc9f34f3e.png?v=1588452084,1,Aquarius ring in gold plated and swarovski crystal,false,,,,,,,,,,,,,,,,,lb,,
